seed,experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
44,fasttext__average__ridge_classifier,fasttext,fasttext average,average,ridge_classifier,ok,0.8930474779917859,0.0150257310015149,0.4869047619047619,0.4701997108911772,0.7773412698412698,0.8056646825396825,0.6571845433632596,feature_seconds=97.72; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
42,bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1111.4154285900004,0.0252054209995549,0.4677380952380952,0.4654406751133935,0.7779761904761905,0.8055059523809524,0.6462147741350215,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
44,fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,54.26917608600343,0.0736580330121796,0.4784920634920634,0.4709830893963616,0.7786111111111111,0.8053472222222222,0.6471907581715293,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
44,bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1126.1627489019884,0.022684855008265,0.4633333333333333,0.4615441737953231,0.7825,0.8043750000000001,0.6436970676065992,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
43,bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1112.1131823600151,0.0307452630077023,0.4656746031746032,0.4637076549653113,0.7847222222222222,0.8038194444444444,0.6418087051759713,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
42,fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,33.05011182100861,0.0619096150039695,0.4652777777777778,0.4592927862705637,0.7966666666666666,0.8008333333333333,0.6373940898838069,feature_seconds=107.06; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
44,glove__average__logreg,glove,glove average,average,logreg,ok,30.961295304005034,0.053073764021974,0.4628571428571428,0.4564946152088693,0.7967460317460318,0.8008134920634921,0.6380233874009809,feature_seconds=48.20; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
43,fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,32.289870037988294,0.0616066670045256,0.4652380952380952,0.4591442211541466,0.7967857142857143,0.8008035714285714,0.6351471050450983,feature_seconds=102.79; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
43,glove__average__logreg,glove,glove average,average,logreg,ok,30.53337498399196,0.0678247449977789,0.4603174603174603,0.4548836342358195,0.7978968253968254,0.8005257936507937,0.6365511668805552,feature_seconds=48.39; vocab_cov=0.3326; token_cov=0.8535; loaded_vectors=39050
43,glove__mean_max__linear_svm,glove,glove mean_max,mean_max,linear_svm,ok,346.76421158600715,0.1012993519834708,0.4724603174603174,0.4545324735583971,0.8018253968253968,0.7995436507936509,0.6472455748288461,feature_seconds=48.63; vocab_cov=0.3326; token_cov=0.8535; loaded_vectors=39050
44,fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,31.59287971400772,0.0487923420150764,0.4661111111111111,0.4604486734154966,0.8022619047619047,0.7994345238095238,0.6301963954538969,feature_seconds=98.44; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
